case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
2292145,,4,MED,4,,0
2292151,,1,MED,1,,0
2292158,,1,MED,1,,0
2292159,,2,MED,2,,0
2292164,,3,MED,3,,0
2292185,,1,MED,1,,0
2292202,,2,MED,2,,0
2292209,,1,MED,1,,0
2292225,,4,MED,4,,0
2292228,,4,MED,4,,0
2292238,,2,MED,2,,0
2292251,,1,MED,1,,0
2292252,,2,MED,2,,0
2292300,,2,MED,2,,0
2294269,,1,MED,1,,0
2294284,,3,MED,3,,0
2294304,,3,MED,3,,0
2294339,,1,MED,1,,0
2294363,,2,MED,2,,0
2294380,,1,MED,1,,0
2294431,,1,MED,1,,0
2294437,,1,MED,1,,0
2294447,,2,MED,2,,0
2294454,,1,MED,1,,0
2294470,,1,MED,1,,0
2294473,,2,MED,2,,0
2294474,,1,MED,1,,0
2294477,,1,MED,1,,0
2294485,,1,MED,1,,0
2294490,,3,MED,3,,0
2294501,,1,MED,1,,0
2294507,,1,MED,1,,0
2294530,,1,MED,1,,0
2294565,,1,MED,1,,0
2294566,,2,MED,2,,0
2294571,,1,MED,1,,0
2294578,,4,MED,4,,0
2294600,,4,MED,4,,0
2294608,,1,MED,1,,0
2294616,,2,MED,2,,0
2296859,,2,MED,2,,0
2296880,,1,MED,1,,0
2296883,,2,MED,2,,0
2296909,,2,MED,2,,0
2296941,,2,MED,2,,0
2296949,,1,MED,1,,0
2296971,,1,MED,1,,0
2297001,,2,MED,2,,0
2297004,,4,MED,4,,0
2297022,,4,MED,4,,0
2297061,,1,MED,1,,0
2297076,,2,MED,2,,0
2297083,,2,MED,2,,0
2297089,,1,MED,1,,0
2297111,,2,MED,2,,0
2297123,,1,MED,1,,0
2297142,,2,MED,2,,0
2297160,,1,MED,1,,0
2297179,,2,MED,2,,0
2297213,,1,MED,1,,0
2297225,,2,MED,2,,0
2298778,,1,MED,1,,0
2298800,,4,MED,4,,0
2298823,,3,MED,3,,0
2298848,,2,MED,2,,0
2298943,,2,MED,2,,0
2298982,,2,MED,2,,0
2299019,,2,MED,2,,0
2299045,,1,MED,1,,0
2301364,,1,MED,1,,0
2301376,,2,MED,2,,0
2301423,,4,MED,4,,0
2301449,,2,MED,2,,0
2301503,,3,MED,3,,0
2301521,,1,MED,1,,0
2301529,,1,MED,1,,0
2301532,,2,MED,2,,0
2301631,,2,MED,2,,0
2301770,,2,MED,2,,0
2301918,,3,MED,3,,0
2303825,,1,MED,1,,0
2303840,,2,MED,2,,0
2303859,,2,MED,2,,0
2303892,,2,MED,2,,0
2303893,,3,MED,3,,0
2303928,,2,MED,2,,0
2303939,,1,MED,1,,0
2303957,,3,MED,3,,0
2303997,,3,MED,3,,0
2304020,,2,MED,2,,0
2304027,,2,MED,2,,0
2304092,,2,MED,2,,0
2304094,,2,MED,2,,0
2305699,,1,MED,1,,0
2305720,,2,MED,2,,0
2305725,,4,MED,4,,0
2305768,,3,MED,3,,0
2305770,,1,MED,1,,0
2305792,,2,MED,2,,0
2305798,,3,MED,3,,0
2305853,,1,MED,1,,0
2305858,,2,MED,2,,0
2305866,,2,MED,2,,0
2305874,,1,MED,1,,0
2305876,,1,MED,1,,0
2305891,,2,MED,2,,0
2305908,,2,MED,2,,0
2305962,,1,MED,1,,0
2305963,,2,MED,2,,0
2305967,,2,MED,2,,0
2305974,,1,MED,1,,0
2305984,,2,MED,2,,0
2306005,,1,MED,1,,0
2307576,,2,MED,2,,0
2307578,,1,MED,1,,0
2307593,,1,MED,1,,0
2307600,,2,MED,2,,0
2307623,,4,MED,4,,0
2307652,,3,MED,3,,0
2307699,,1,MED,1,,0
2307709,,2,MED,2,,0
